Teff,logg,[Fe/H],GALEX_FUV,GALEX_NUV,STROMGREN_u,SkyMapper_u,SDSS_u,GROUND_JOHNSON_U,SkyMapper_v,STROMGREN_v,TYCHO_B_MvB,GROUND_JOHNSON_B,STROMGREN_b,SDSS_g,PS1_g,SkyMapper_g,GaiaDR2v2_BP,TYCHO_V_MvB,STROMGREN_y,GROUND_JOHNSON_V,SkyMapper_r,SDSS_r,PS1_r,PS1_w,KEPLER_Kp,GaiaDR2v2_G,GROUND_COUSINS_R,NGTS_I,SDSS_i,PS1_i,SkyMapper_i,GaiaDR2v2_RP,GROUND_COUSINS_I,TESS,PS1_z,SDSS_z,SkyMapper_z,PS1_y,2MASS_J,2MASS_H,2MASS_Ks,WISE_RSR_W1,SPITZER_IRAC_36,SPITZER_IRAC_45,WISE_RSR_W2
5250.0,8.25,0.0,3575096.935502673,827130891.2881392,20774759995.212204,22326075518.781788,24482739806.847588,27396596374.47038,33391884485.76547,41118256205.84264,42968874786.30099,44541836287.96566,50895467003.58267,49669524080.84683,50799223397.62632,51543084966.262634,49450049662.48226,52431888713.05468,53111649625.760895,52624200612.53492,49989331995.3762,49993627071.992195,49800355098.29538,46822959006.18557,46809049724.48791,44360408638.1491,47714236853.672195,44304450876.99553,41564697531.77857,41231928191.67184,39589615130.78945,38182682540.051,38718083231.2842,38400484261.88526,33400339818.601597,31706668619.89889,30509704223.313736,27687506380.1409,16223624386.119526,8174748624.648849,3403846369.778262,307895322.7205454,184356200.19106767,78872159.16587844,71002822.68058535
5250.0,8.5,0.0,3480825.655465401,782478046.9117991,20086838710.30105,21635956497.610893,23796514064.38187,26711456171.42915,32731813177.757584,40673116133.42412,42643279308.79922,44297444540.64123,50930131289.30484,49655737107.552734,50843094234.105835,51640150975.56679,49514251722.7443,52595552359.63406,53288782376.47126,52796650661.52359,50182576239.89244,50198947663.68056,49999517305.743324,46963441762.93038,46956799321.15769,44483023668.32656,47899268241.70783,44464815947.10305,41707849255.12685,41373624307.51598,39723750445.787025,38318965869.43818,38848114830.56139,38535214877.579575,33504790162.08962,31803335739.038723,30600860445.74617,27765714930.369236,16252474632.365334,8170800146.798157,3403349128.102567,307935217.5676992,184356229.12715915,78872159.16587844,71002822.68058535
5250.0,8.75,0.0,3356203.8940231255,727564853.8608624,19465036241.713936,21004948266.837788,23160779574.695866,26073589585.01775,32098793234.426006,40216267662.42159,42302952254.36938,44044424294.033516,50942940706.68569,49623906900.04121,50869778466.20835,51722437166.59118,49576826333.54585,52748342563.072334,53457964430.09027,52960847839.98886,50399046808.540535,50405214512.63269,50182696471.09311,47151672294.950874,47100351597.96898,44603150750.59981,48086618588.75897,44628237651.13186,41862936161.147354,41532245286.583466,39855914350.252975,38459454740.53457,38981611598.63364,38672230069.30467,33606706247.62194,31902208272.58403,30694775210.447136,27844665782.22036,16280146513.383202,8163112402.67088,3401872833.531154,307956303.24646276,184356246.7293722,78872159.16587844,71002822.68058535
5250.0,9.0,0.0,3199812.135368013,682960423.7863861,18900824552.01973,20427339900.313908,22578976510.767395,25480456003.425682,31493177422.66762,39750768027.01394,41950484712.63659,43771977031.224686,50934097921.18432,49574699713.95436,50879932806.27362,51790565266.28171,49628149471.60085,52891390137.36131,53620936645.23423,53118379218.87481,50579640897.17179,50617339461.42995,50388180543.95297,47272524565.859146,47241626612.21665,44722303619.92885,48276305582.27475,44788292411.304886,42015595669.405464,41677558859.1979,39993989816.59174,38602010983.118385,39115734281.60298,38811770584.6349,33715039140.301285,32002382427.34105,30789198751.22057,27925496670.334183,16306977571.812675,8150868595.377533,3399098919.451924,307952441.1059287,184356249.32971472,78872159.16587844,71002822.68058535
5250.0,9.25,0.0,3005843.9785343106,628614174.2705604,18396170533.50307,19906906495.148766,22044724905.144127,24928309870.805676,30921516136.505276,39283615920.22585,41593059290.07692,43496232662.55578,50904858715.52776,49509988828.7888,50874886211.266594,51845682718.08409,49677240273.99826,53025060704.271255,53778584068.071495,53270235283.44839,50776408608.429756,50829753059.81536,50593282727.62244,47406781396.2776,47380995413.49455,44841624195.670746,48468524917.42326,44953888837.14841,42167334135.41502,41827792392.87046,40137206323.33838,38749213507.75086,39254979496.72679,38955373873.617386,33827812852.467056,32106640515.72523,30887241768.440704,28008893294.856857,16332758139.631132,8134040028.9889,3394980824.5839486,307921786.74503386,184356235.58484405,78872159.16587844,71002822.68058535
5250.0,9.5,0.0,2776034.169068393,577452906.2205448,17943888192.87884,19440112932.605473,21563439798.273483,24423046892.057564,30381033864.152798,38818915216.21973,41237626033.45714,43216161226.67396,50857511001.35702,49432299756.53874,50857119625.7398,51890240075.95799,49721738694.64919,53151595569.96704,53933333944.016785,53419024883.484695,50975669376.2214,51043696800.8106,50801006238.43168,47541561192.99557,47520701104.618484,44962122693.1917,48664959760.78659,45123838259.2399,42326019147.88313,41985039447.47025,40287164390.58092,38901692857.50309,39400972335.22236,39104495092.87211,33946378572.89894,32216153004.219444,30990486901.954357,28097340139.22085,16357756306.242939,8112819750.91119,3389475835.5383043,307859068.0764982,184356201.99243048,78872159.16587844,71002822.68058535
5500.0,6.5,0.0,7918870.499027857,3516330218.1149993,43179489573.07625,44640020350.90076,46523720661.70664,49185970884.20719,54389495706.18238,59694486206.98448,60591861302.570244,61366956312.48586,65190510403.66927,64014267237.59559,64373944915.772675,64096545646.01516,61548023378.08106,63865949615.29208,64063797333.418594,63527087517.84919,58849750271.60805,58708021538.106926,58464867459.21387,55481035304.6064,55451799449.53578,52470074270.50524,55538140374.1393,51246881890.97599,47218658847.947426,46793000010.00629,44754250031.6354,43206831482.00789,43677955975.88633,43629464667.21846,37276041855.71783,35299733770.002106,33894148244.92398,30627978765.62519,17882882376.59138,9013634012.93663,3688296392.870341,328824987.791959,197041108.3926596,83917166.51233807,75511338.64644507
5500.0,6.75,0.0,8096850.457105688,3057241827.607663,42043423466.18195,43608722416.63366,45618354104.27656,48434020020.6878,53962004716.50856,59551832630.81612,60515537053.39267,61330841306.79091,65390628698.05116,64185397838.42863,64593811426.56369,64366377819.526596,61777008863.6243,64187520562.13149,64422553557.88803,63876106388.60948,59195607802.32022,59061376668.87294,58815594914.45067,55797775724.02394,55760153903.135605,52750977016.98659,55883910674.438286,51569546631.58989,47527883479.95667,47105882815.23666,45051404488.72172,43480481953.79069,43966612757.27897,43903321926.30103,37510986169.905815,35516289586.08184,34098126407.98814,30816201959.848938,17872277232.610546,8987190828.825996,3678563523.2238503,328832524.9420667,197041125.00170353,83917166.51233807,75511338.64644507
5500.0,7.0,0.0,8262504.280802512,2691416085.5978026,41071331147.722244,42711520969.80337,44813512524.15662,47759788703.70847,53552302758.78282,59417941939.89868,60445042225.29664,61319179072.25979,65553715888.36313,64322986027.5588,64773091658.06195,64588946263.16592,61964352207.15514,64449249062.315956,64716805482.577034,64162596781.90649,59497374565.19509,59354439441.76747,59110137312.644875,56055587211.026566,56019301407.78917,52987801577.334785,56175144945.062485,51833922214.87688,47799556723.52834,47374981461.67374,45307082418.00649,43714142920.52454,44215059593.162,44136823333.54882,37714024191.81537,35707344771.99473,34275922257.168743,30966921370.039177,17930232642.9043,8970785012.068672,3676956245.174065,328814983.02161944,197041123.74967661,83917166.51233807,75511338.64644507
5500.0,7.25,0.0,8414023.825309338,2419074034.5092554,39854029320.237976,41561743743.75777,43785291481.810905,46874481667.431595,52972142572.903824,59243945888.04034,60349389404.99202,61289535419.42577,65817846275.61492,64537524326.411545,65040124740.088585,64897367654.89699,62199866177.579445,64804783001.92713,65096628393.29056,64531605638.49403,59824250863.89233,59664110304.02076,59391225963.5759,56328437487.25174,56308507424.55543,53242660953.77517,56475746277.746346,52112769810.8896,48075207586.7188,47643447759.19578,45555162987.028656,43941190973.18148,44462489855.63998,44364458143.60841,37902877114.94699,35886243291.995766,34447968254.63903,31096408929.611572,18023526032.303783,8954664674.562166,3671263639.915442,328832482.59326684,197041143.66405472,83917166.51233807,75511338.64644507
